Comment_ID,Author,Date,Comment_content,isSpam
z12pgdhovmrktzm3i23es5d5junftft3f,lekanaVEVO1,2014-07-22 15:27:50,i love this so much. AND also I Generate Free Leads on Auto Pilot &amp; You Can  Too! http://www.MyLeaderGate.com/moretraffic,1
z13yx345uxepetggz04ci5rjcxeohzlrtf4,Pyunghee,2014-07-27 1:57:16,http://www.billboard.com/articles/columns/pop-shop/6174122/fan-army-face-off-round-3 Vote for SONES please....we're against vips....please help us.. &gt;.&lt;,1
z12lsjvi3wa5x1vwh04cibeaqnzrevxajw00k,Erica Ross,2014-07-27 2:51:43,"Hey guys! Please join me in my fight to help abused/mistreated animals! All  fund will go to helping pay for vet bills/and or helping them find homes! I  will place an extra emphasis on helping disabled animals, ones otherwise  would just be put to sleep by other animal organizations. Donate please. http://www.gofundme.com/Angels-n-Wingz",1
z13jcjuovxbwfr0ge04cev2ipsjdfdurwck,Aviel Haimov,2014-08-01 12:27:48,http://psnboss.com/?ref=2tGgp3pV6L this is the song.,1
z13qybua2yfydzxzj04cgfpqdt2syfx53ms0k,John Bello,2014-08-01 21:04:03,Hey everyone. Watch this trailer!!!!!!!!  http://believemefilm.com?hlr=h2hQBUVB,1
z12rw1o4zvidhdthz04cixxjssq5wzsrlpk0k,Nere Overstylish,2014-08-02 23:12:49,check out my rapping hope you guys like it  https://soundcloud.com/nereboy/call-of-the-lostproduce-by-atlastatlas-rapper-jkork  and follow and message me :),1
z13xizvwrki2hf2ev22txvrp2ovcyf3zq04,Jayki L,2014-08-03 21:20:41,"Subscribe pleaaaase to my instagram account , i'll subscribe back ♥  http://instagram.com/cyrine_ghorbel",1
z12ogvgbmre3eloah04ccjbpsmusxdxbwc0,djh3mi,2014-08-06 21:14:15,hey guys!! visit my channel pleaase (i'm searching a dream).,1
z125efjyoyaxwhzhz04cgh4oaontcvvdc,Manuel Ortiz,2014-08-07 17:46:23,Nice! http://www.barnesandnoble.com/s/BDP?csrfToken=I9tIxe8cNkCosOqkEMGjLU5uwv6nSXSO&amp;sort=DD&amp;size=90&amp;csrftoken=89Iyec7nrWP5NYtnO5U7amhVmfLUtgGL&amp;dref=5094&amp;keyword=BDP&amp;store=EBOOK ,1
z12is34ysrzoy3uwl04cctlxmrekjfuhvig,Mike Bennett,2014-08-07 19:40:18,http://www.twitch.tv/daconnormc.,1
z13ijjrgqqyqzfo2t23zfztbtlu4ghg5o04,Lil Misme,2014-08-09 3:01:25,Hey Guys this is Glamour Beauty! I just started my youtube channel please  go check it out! I'm going to post singing videos and also random videos  that I fell like! Please go to subscribe! More to come soon!. Remember to  subscribe!,1
z131yf5grx3hv1rxb04cdx0zexadztqgxrg0k,Gasser ElLord,2014-10-05 13:59:39,That's Good :).,0
z13ccdhqkujfe3i3s221tj5h1wmrfjibe04,Amanda C,2014-10-05 23:21:13,Awesome video this is one of my favorite  songs😀😀😀😀😀😀😀❤️❤️❤️❤️❤️❤️❤️❤️💎💎💎💎💎💄💄💄💄💋💋💋💋,0
z12zer0p2uaowfzqu04ccnczoyyryjj5u1s,Annie Trace,2014-10-06 16:13:36,If only I had the body like Katy Perry :)). She looks so hot. I love her  ^^!.,0
z12ih1iyqojdhlxgu04cdhsb1ofdtll5a3g,Deepty Awasthy,2014-10-07 3:41:31,"The song is very good ...but the video makes no sense...just a nonsense  video...I mean she is telling her story of being stuck on an island, but  the song doesn't fit in the situation...but nvm...The song is good",0
z121gzyrrsm4jlvid04cjj0zzpyxwv3qocc,desing,2014-10-08 7:19:15,Who else would give Katy perry a good old mighty roar? ;).,0
z12pdlwxuwmktfmoq04civd5ypmzv5np0os0k,Maryam Yassine,2014-10-08 12:39:49,OMG I LOVE YOU KATY PARRY YOUR SONGS ROCK!!!!!!!!!!!!!!!!! THATS A TOTAL  SUBSCRIBE.,0
z130tpc5mwbqtxkox04cipervsaysn0w22o,William Fernandez,2014-10-08 18:47:52,Katy Perry - Roar (Official): http://youtu.be/CevxZvSJLk8,0
z13osblxvrj0ibtcn22cjjzguw31d5534,Dana Nipper,2014-10-09 23:17:15,katy perry is awesome.,0
z12lhtpotlygylwcj23idphbpsjih0e0,Kane Bradford,2014-10-10 18:09:13,I love this sooooooooooooong I love katy perry.,0
z13utrmbosiawt10p22kextrikr0fprhh04,Tiny Tim,2014-10-11 2:28:19,What does that tattoo on her right tricep say?,0
z12auh0b1vajetih404cfbl5uyfehpi4kb4,fortune kitty52,2014-10-11 11:26:00,Since when has Katy Perry had her own YouTube channel?,0
